"item","sagree","agree","neutral","disagree","sdisagree","notes"
"data.degree1",29,9,1,2,0,"Additionally, I would recommend including the criteria adopted to justify the limitation in the number of alteri

=====

Should be included, but could also go into the section 1.3?
In addition: the next item reports missingness in nodes. Should there be reporting on missing edges as well?"
"data.nodes1",18,11,4,8,0,"for the seek of clarity, I suggest simply deleting ""For Ego Networks: Not applicable"" 

=====

same opinion to the network count >= 5 

=====

What is ""network count""? For example, what is the ""network count"" in the example mentioned on page 1, concerned with pollinators visiting plants?

=====

As I noted previously, the ego-centric approach can be used to build a whole network with an appropriate research design.

=====

The cutoff value of 5 should be explained and justified in the guidelines.

=====

Should be reported, but could also go to section 1.2

=====

This does not allow for all options. For instance, nwtworks may be filtered by geographical area - then it is impossible to state what fraction is not reported. Yet, they have a specific boundary, although this may not be well defined, but clearly it is not unbounded.

In geography, this is well known as determinate objects with vague boundaries, which I believe somewhat applies to networks too. 

It would be good to state how the boundary was determined, and what attempts have been made to minimise the imapct of the boundary on the analytical results.

=====

I would also ask authors to report on coverage, nonresponse and similar issues here, as applicable."
"trans.sym1",29,6,1,4,1,"In some studies, the process of transforming relational data (e.g., symmetrizing or dichotomizing) is carried out at various points in the research. It would be interesting to indicate if additional modifications were made during the research process, providing justification for these decisions.

=====

The detailed description should be mandatory

=====

If reporting gets too onerous, section 2.3 is probably where I would start cutting requirements. Some of the items to report here could also be covered in the edge or node description, but having a specific section may be a good way to force people to be more explicit.

=====

I think the description of the transformation should be always provided, otherwise the data are not reusable.

=====

To me, this reads quite sterile and technical here. I would embed this to the data processing and cleaning section I suggested earlier. This would present specific transformations more organically as part of the data collection and analysis process."
"trans.bin1",31,6,1,3,0,"Again, the detailed description should be mandatory

=====

same as before - transformation should not be optional

=====

I just have the same reservations as for the previous question: This makes sense but could be embedded in a broader reporting on data processing/cleaning."
"trans.proj1",29,6,0,6,0,"Some studies present networks as Mode 1 (for example, a co-occurrence network of academic participation in a conference) without specifying that the network is actually a 2-Mode network (actors X events). In these cases, it is necessary to specify this operation due to the theoretical and empirical implications underlying this type of modification.

=====

Projection technique should be explained by the author to improve transparency and replicability. That could be as part of the main document or well as an appendix.

=====

Again, detailed description should be provided

=====

There are many ways to turn non-network data into a network and finding a limited number of concise descriptions may be difficult here. Maybe allowing for a more detailed description in Meaning in 1.3 is a better way to go? Or having an item ""how were edges construed?"" in 1.3?

=====

same about transformation

=====

Same as earlier, and I would elevate this as a specific type of empirical data (processed), as mentioned earlier."
"trans.exclude1",33,5,0,3,0,"Again, the optional part should be mandatory. All can be in appendices etc.

=====

Rationale for exclusion criteria should not be optional. 

=====

Agree with the necessaty of this, but would discuss it in the context of coverage, nonresponse, and data removal."
"trans.impute1",33,4,0,4,0,"Imputation technique and assumptions must be fully described to improve transparency and replicability.

=====

Once again, details are needed

=====

same about imputation aas transformations

=====

Same as earlier: important but could be presented as part of a wider narrative."
"connected1",17,10,5,7,2,"I suggest deleting ""If directed: Report whether the network is strongly connected, weakly connected, or unconnected"" since is ambiguous and depends on the system.

=====

Add strongly and weakly connected to the glossary.

=====

this is a question that only has relevance in a particular research context. For instance, i would be more interested in how many connected components are there. Often in social science 'whole' networks, one would study the dominant component only. 

=====

Most of the other guidelines feel intuitive to me, but I'm not sure why this would be relevant to report. It's generally not something I look for in my work with social networks, so it makes me wonder if this is something that might be more relevant for other types of networks? Will there be any guidance explaining the reason for including criteria like this? 

=====

Perhaps the guidelines could ask reporters to report on network structure measures such as connectedness, average distance, and compactness.

=====

Please consider that some authors could explore ""ego networks"" removing the ""ego"" node. That perspective provide alternative views of how the ""ego network"" configures.  In some cases, that could generate an unconnected network.

=====

IMO an item that could be dropped if the reporting gets too onerous. 

=====

I think average degress, variance of degrees and edge probabilities / weight distributions would be enough to report (maybe number of strong components as well).

=====

Depends if it adds information that is valuable for understanding the results. Its impossible to report every centrality measure (in this case density)."
"connectivity1",18,7,6,8,2,"I agree on including network density, but I strongly disagree on using mean degree.
This indicator is not meaningful in the presence of long-tailed or scale-free degree distributions. Instead, I would recommend reporting the family of the distribution that best fits the data, ideally supported by a statistical test (e.g., Kolmogorov–Smirnov, Chi-square, or Shapiro–Wilk for normality).
Subsequently, the analysis should include indicators that are meaningful for the identified distribution class, whether based on the fit or the empirical data.

Even if the degree distribution were approximately normal, the mean degree alone—without its standard deviation—would still provide limited insight.

=====

density is perhaps the least interesting network statistic there is. 

=====

Describing the structural properties of each network type is crucial for understanding the system under study. In this regard, for egocentric and whole networks, I consider it necessary to include the following points (which are also the most frequently reported), in addition to those already covered in the guide:
Egocentric networks: Size; average degree; density.
Whole networks: Size; density; centralization; number of components or clusters; and reciprocity (in the case of directed networks).

=====

I'm not sure I understand the value-add of including this in the guidelines, when it could be computed with other data in the guidelines (e.g., # of nodes, # of ties, directedness). It seems more like a nice to have item rather than a strict guideline.

=====

Providing both edge density AND mean degree could provide a better description of network structure.

=====

They have already provided the number of nodes and the number of edges, I find this redundant

=====

The cutoff value of 5 should be explained and justified in the guidelines.

For ""If signed: Report edge density or mean degree separately for positive and negative edges."" --> Both of these should be reported, rather than either/or.

=====

This should be inferrable from what is reported in 1.2 and 1.3, should't it?

=====

I agree, but think if all before is described well, then these statistics can be easily computed. 

=====

It is not clear to me, why report either? density is not the same as average degree."
"other1",0,0,0,0,0,"For clarity, in the glossary, I would also add the definition of multilevel network and include the word ""layer"", since many researchers outside network science are familiar with the concept of multilayer network.

=====

Authors should include a reference to the software used to compute various metrics.

General guidance should be provided on how to report the structural metrics that are used. For example, if reporting degree distribution be sure to compare to other distributions and don’t just fit the distribution to only a power-law.

It is helpful to readers to include a compare/contrast with another related metrics. For example, there are dozens of centrality metrics…why was X used instead of Y? Another example is community detection, why one vs. another algorithm?

Provide general guidelines for comparing two networks (e.g., use normalized/standardized metrics, rather than raw metrics). 

Perhaps suggest statistics or heuristics that can be used to demonstrate a statistically significant difference in a metric for 2 (or more) networks (especially in the case where the metric is not based on a distribution, making it less amenable to conventional statistics). 

Provide general guidelines for spread of infection/activation/information/etc. across a network (or what should be included if a random walk or directed walk is used). That is, remind authors to include information about the various parameter settings. 

Provide general guidelines for percolation/damage to a network. Give examples of comparisons between random vs targeted removal of nodes or to the intact network. Give example of removal of nodes vs. removal of edges (and does it matter?). 

In unconnected networks include information about number/percentage of nodes/edges found in the giant component, the smaller components, and isolates. 


=====

In the case of attributed nodes, it would be interesting—though not mandatory—to report label assortativity, as it provides insight into how node attributes correlate with the network structure.

=====

Similarly to how missing nodes are reported, missing _edges_ should also be reported. In this case I mean edges whose existence has not been tested explicitly. For instance, in a brain connectivity network built via empirical means, it may be the case that the existence of a connection between certain areas has not been tested, and it is important to distinguish between pairs of areas where the connection has  been _tested_ and _found not to exist_ and pairs of areas where the connection has not been tested.

=====

related to 2.1, ""how the network was bounded"" should NOT be optional, but should always be explained

=====

I miss terms such as centrality, modularity or clustering, but I am not sure if they are relevant to the purpose of the questionnaire.

=====

There are some cases that seemed relevant to consider for section 2.3 on data transformation. The two that came to mind for me are: 1. when folks aggregate ties from multiplex networks. For example, all ties that involve some kind of exchange behavior get aggregated to create an exange network from a dataset that includes information exchange, financial exchange, and other non-exchange activities(the non-exchange activities would be dropped and all other ties would be aggregated to generate the network). This might be a specific case of the 'excluding' sub-section, but it didn't feel lik it was well-represented by the current description. 2. Situations where the nodes are transformed in some way. For example, it's common to collect network data with a name generator question with no roster. In that case, the researcher needs to do some kind of work to clean the node list to address inevitable duplicates. I think it's important for authors to indicate how they deal with this (e.g., using a fuzzy match tool, human review of the list to identify duplicates, etc.). 

=====

I think the definitions need to be clearer -- one of the major uses for this that I see is that people who are not trained in network data will want to use it and I am not convenced they could do with the current definitions and guidelines.

=====

I believe that there three additional types of information that should be reported:
1. The population of interest about which the researchers intend to make statements: e.g., when studying collaborations within public companies A and B along with individual and.collective outcomes, the population might be the population of all public companies.
2. The reasons for drawing the boundary, i.e., the reasons for determining including and excluding nodes in the population of interest.
3. Additional structure: e.g., community structure in the form of overlapping or non-overlapping communities, spatial structure, or any other form of structure that is relevant for studying networks and individual and collective outcomes of interest.

=====

I think some more basic descriptives should be included next to avg degree/density:
transitive-closure
reciprocity (for directed)

I also wonder if we could enhance our understanding of networks if it was required to report some centralizations or core-periphery measures. Why? While I personally do not have great intuition for what a (normalized) degree centralization of 0.5 means, I think if I had seen these values reported/calculated myself for the many, many networks I have seen, it might be more meaningful to me and, I assume, other. Which in turn spark deeper understanding.

=====

global or local clustering coefficients.

=====

2.3 Data: Transformation - Sparsification (e.g. thresholding, backboneing, spanning tree, ect.) report the method and parameters used.  Provide a detailed description of the sparsification method.

=====

How it is coded: list of (directed) pairs, adjacency matrix, list of neighbors... 

=====

Multimode networks should have more fine-grained reporting options.

=====

It is sort of there in 2.1, but I wonder whether there shouldn't be a ""how measured/construed"" item in 1.2 and 1.3 in addition to the item ""Meaning"". For example: if edge-meaning is ""friendship"" and method ""observational"" (or ""archival""), then at least I would still not know what the researcher did there (if method is ""survey"" I could guess what they asked the respondent, but might still want to know if it was a closed list or an open-ended request for friendship nominations).

=====

See my comment throughout. I think it woudl realy be useful to distinguish between network and it model, and the resulting graph. This is a significant pbarrier to re-use of data now ( consider the amount of studies working with street networks that are not well described).

=====

One key type of network data that seems to be missing are networks constructed through behavioural observation. This is common in anthropology and animal behaviour, and is where researchers collect data through focal follows or scan samples over a (relatively long) period of time. It would necessitate other important guiding items related to imbalanced sampling and data transformation. 

One other point, is that in whole/socio-centric SNA we're often advised to report other relevant whole-network measures, such as proportion of reciprocal/transitive ties. In longitudinal networks, I've always also reported a stability/change statistic (e.g., Jaccard index, Hamming distance). 

I'm happy to discuss any of these points, if you'd like! 

=====

'- reliability (edge validation)
- NA in attributes (as far as I see on missing nodes are included, no attributes and edges)
- software used - both for data collection and analysis
- sampling design and response rate if applicable
- temporal scope

=====

As I noted at specific points earlier, I would add a bit more emphasis to steps of data collection, processing and clearning. Otherwise, I think many important details are already part of the guidelines!

=====

1. authors of the dataset
2. format of network description
3. single/multi-file description
4. link to dataset


=====

For me the most important issue was to distinguish between types of networks with more than a single type of node and edge. "
"comments",0,0,0,0,0,"Thank you for the work! Regarding the format, I missed figures. But I know that is a big pandora box. 
Thank you but I don't need the TangoCard! Just save it for other participants or donate it to a NGO of your choice. 

=====

Probably not always, but a one-liner description of networks (or categories) is usually helpful for searchers to find data if reports are used to create a database.

=====


I would like to express my gratitude to the entire project team for their hard work. This is a high-quality draft, and I find the project both really interesting and relevant.

I've outlined a few areas that could improve the usability and long-term utility of the guidelines:
1. Enhance clarity with examples.
To help users quickly understand expectations, I recommend incorporating illustrative examples throughout the guidelines. These examples would clearly demonstrate the desired output and formatting standards.

2. Explicit Reporting Format Guidance:
Providing an upfront, clear statement detailing the preferred reporting format and structure would help all users. Clarifying whether a paragraph-based narrative (like MICE standards) or a structured, tabular format (like PRISMA) is expected will reduce initial confusion.

3. Integrating Automated LLM Extraction: 
I suggest including considerations for automated information extraction via large language models (LLMs). Given that LLMs are an increasingly common part of data processing and align with the project's scope, integrating this perspective now could be beneficial. 
Key considerations include:
- Developing standards for the consistent phrasing of common elements (e.g., ties), perhaps with examples.
- Establishing clear structural standards for reporting formats, especially if tables are the preferred solution, to improve machine readability.
- Exploring a dual reporting standard, such as a supplementary JSON-like appendix for automated extraction alongside the standard human-readable text.

Addressing these aspects during the initial phase could facilitate future methodological advancements.

Thank you again for producing these insightful guidelines.

=====

I felt that the guidance provided in sections 1 and 2 already has a pretty high level of adherence in the literature. Where a bit more guidance (or suggestions, or reminders) might be needed is Section 3 (the structural properties of a network). I agree that X vs Y property might be dependent on the research question or analysis, but reminding authors that IF they report X they should be sure to include this, that, and other information. If they report Y, then other bits would be best practice to report. Providing just a few examples might be enough to help an author generalize to other structural measures that aren't explicitly described.  

=====

1.1: for clarity (and for new researchers), I think there should be a note saying something along the lines of ""this does not concern multiplex networks, which are covered by section 1.3""
1.2: node counts for more than 5 networks should not only report range, but also average network size
1.2: descriptive statistics for attributes should specify the minimum of such statistics to be reported (e.g., relative frequencies of each category for categorical variables and range, average, and std deviation for numeric variables)
2.1 related to ethics, if ethical approval was not necessary (very common for using open source data, archival data etc.), this should also be mentioned

=====

I've played with the GRAND R package, and the tables generated by that package cover a much smaller scope of information. My impression based on that package (and some of the ""nutrition facts"" styled tables), would be that the information organized by GRAND would be displayed as a table somewhere in the data section of a manuscript. However, the comprehensive list of network properties on display here is far too long for such a table. My question is, then, where the full set of information is going to be stored. Is it less that all of this gets contained in a table, and rather GRAND provides a checklist of information that authors must address at least SOMEWHERE in a manuscript? Or is the expectation that all of this DOES go in one or a few extensive summary tables, which are perhaps included in a manuscript's appendix? 

Assuming all this information is supposed to be displayed in a table format, the GRAND team should provide some more detailed formatting guidelines for summarizing networks with a multiple sources of complexity. If you have <= 5 networks as well as multiple modes of nodes or types of edges, for example, the number of columns you'd have to report for node/edge counts could get quite unwieldy. And then guidelines on how many separate tables this information should be consolidated to would be useful. I personally see node and edge properties being broken into separate tables, as well as a third table about broader structural properties. Additionally, I could see more ""meta-level"" information (e.g. data collection and generating process, IRB approval) being housed in its own table-- it feels like a distinct category of information relative to things like density, connectivity, etc.

=====

No additional comments.

=====

In general, I find the guide coherent and very useful for authors, editors, and journal reviewers alike. While specific guides will surely be developed for each network type, I think it would be helpful to include a graphic illustrating each network type in the initial diagram for greater clarity. Another recommendation, which I'm not sure where to include, concerns cases where relational structures of specific actors are analyzed independently and treated as egocentric networks, but which actually correspond to the ""extraction"" or ""isolation"" of a specific node's network from a larger network. For example, UCINET and Netdraw have specific commands for isolating (and in Netdraw, visualizing) networks of specific actors. In my opinion, these types of operations, while valid, must be explained and justified. Although they are treated as egocentric networks, in practice the information is not obtained directly from Ego, but rather from the direct or indirect relationships that the other nodes in the whole network have reported having or not having with a given actor. 
I appreciate the effort you are making to promote quality of SNA research.

Best regards,
Ignacio Ramos-Vidal

=====

Thanks for the chance to review the guidelines! These look really promising. 

=====

I think everything needs to be defined better, probably some figures and tables and clear examples.

=====

Well done Zack!

=====

I think it's quite complete. The answers where I marked as ""somewhat agree"" is because I consider them more optional than ""a must"".

=====

Thank you so much for your work on building the guideline!

=====

To improve usability, it could be adopted a check list where authors can mark whether they have employed the suggested reporting item. 
Also, please consider to create some repository that allows the use of the guideline. A reference point is how the PRISMA guideline has been operationalised (https://www.prisma-statement.org/protocols). I believe this could increase citation count.

=====

thanks for leading this effort!  I hope it catches on!

=====

All in all it looks like great work to me. It will be very useful (if people do follow it)

=====

Multimode networks should have more fine-grained reporting options, and these should be represented in the decision tree figure. Also, more guidelines for the reporting of missing edges could be included. Node turnover in time series/waves could be included.

=====

I think it might help to clarify the purpose of these guidelines some more. Is this a guideline for the peer review process - and if so when talking about one's own research and network data or when simply discussing the data of other researchers in more depth? Or is this a guideline for the meta-data to provide when submitting network data to a replication archive? One could consider different requirements depending on the purpose, and whether the actual network data is made available (so that others might calculate measures regarding network structure themselves) or not.

=====

Two suggestions: 1) It might be helpful to provide an example in the limitations section about boundary specification, as done elsewhere in the guidelines. E.g., Number of nodes relative to the village population size for a village network. 2) Using ""generated"" for non-real-world data may be confusing since we often use ""name generating"" survey questions to collect real-world network data. An alternative might be to use ""synthetic"" data.

=====

Thank you for the great initiative! Happy to discuss more about these commetns: tomkom@unimelb.edu.au (Martin Tomko)

=====

This seems like a really great initiative and I would really like the opportunity to contribute to it as a coauthor, if you think that I'd be of any help! 


=====

I like this project.  However, the overall purpose/motivation of GRAND is unclear. It would help if readers knew about why GRAND is required - has reporting in the past been inconsistent/problematic?  In the flowchart on p.2, the term 'scope' is unclear/undefined (it is also underlined but not in the Glossary). 

=====

In relation to ethics and data collection processes, for empirical studies, I would suggest adding a suggestion for a positionality statement from author(s) to explain the relationships between the academic team and the participants. Our interpretations shape the visualizations and results; thus, it is important to be transparent with those assumptions. Additionally, I would be curious to know how the results have been shared back to the community studied and any methodological implications (using CBPR methods, engaging community-based research assistants for data collection and analysis, etc.).

=====

Thank you for the opportunity to participate in this initiative. 

=====

In 1.2 : Describe how the attributes were measured , and provide sample descriptive statistics for each. -
 - Attributes are not always measured
In 1.3 - Method : Report the name of the data generating model (e.g., sample smallworld() in igraph v2.1.4) with a citation, and the values of the function parameters. Provide a detailed description of the data generating model, including its theoretical foundation  and the role of each parameter.
         I'd say theoretical relevance for the current study
In 3 Connectivity
    Not always relevant in a study, I would Italized


=====

Several items marked as optional should be mandatory for transparency and reproducibility.
Could be useful to introduce a companion checklist for compliance checking.

=====

These guidelines are very helpful. I'll be interested to see how widely they are adopted and where this reporting might take place. I can imagine that many humanities researchers who are using simpler tools like NodeGoat will be confused and possibly put off, but that may be salutary if it makes them learn a bit more about networks!

=====

Thanks for the opportunity to feed into this. It sounds like an exciting and important project. I would be happy to contribute further if there's any need.

=====

The comments from my email to Zachary:

I am providing some comments on the GRAND draft in this email. I inserted the numbered positions of my comments in the GRAND draft. 

1. My background is in graph theory. I started with vertex, edge, and arc (and line = edge or arc). When other fields joined the network analysis, I slowly moved to node, link, edge = undirected link, arc = directed link.

2. Also, nodes can have different properties (attributes). These values can be measured in different scales(numerical, ordinal, nominal/categorical). Values of properties and weights can also be other types of objects
  - values from an algebraic structure
    https://www.tandfonline.com/doi/pdf/10.1080/0022250X.1994.9990135
  - temporal quantities
    https://link.springer.com/article/10.1007/s13278-016-0330-4
    https://www.sciencedirect.com/science/article/abs/pii/S1751157719301439
  - distributions
    https://github.com/bavla/SDA/blob/main/docs/bikes.pdf
  - intervals
    https://dl.acm.org/doi/10.1007/s10618-023-00975-z
  - functions: (not the best example) Figure 2 in
    https://www.tandfonline.com/doi/epdf/10.1080/27658449.2021.2020399
  - ...
The network description can be extended with graphical/visualization information (coordinates, colors, shapes, ...)  
 
3. A hypergraph structure can be described as a two-mode network (nodes, links) - (v,e) is a link in a two-mode network iff the node v belongs to the link e in the hypergraph.
A special type of hypergraph is the multiway network
https://link.springer.com/article/10.1007/s13278-024-01283-0

4. Many networks from network science are used for statistical overall analysis - they usually have nodes without labels. In detailed network analysis, labels are crucial for interpreting results. Regarding privacy issues, labels are not necessarily IDs; they can be types describing the role of a node in the described system. The information labeled/ not labeled should be provided. I would encourage authors to include labels.

5. An option would be that GRAND provides a list of frequent transformation methods. Then the method name would be sufficient.

6. What about the number of components, size of the largest component, ...
It would also be useful to add other characteristics, such as maximum degree, core number, minimum/maximum weight, acyclic, planar, ...

7. Often, the networks were obtained by reformating an older version or extracted from some data source. I think that the original source has to be cited, and the authors of the current version. It would also be useful to provide references to documents about the system described by the network and papers analyzing it.

8. It is important to know which format is used for network description. The list of standard formats could be provided by GRAND.

Additional ideas can be found in our recent paper
https://aile3.ijs.si/dunja/SiKDD2025/Papers/IS2024_-_SIKDD_2025_paper_9.pdf
published in Proceedings of Information Society 2025, SiKDD, 6–10 October 2025, Ljubljana, Slovenia, p. 102-105
https://is.ijs.si/wp-content/uploads/2025/11/IS2025_Volume-C.pdf
and some additional details in
https://arxiv.org/abs/2505.00912
https://arxiv.org/abs/2505.00921
An example of network description in Pajek datasets
https://github.com/bavla/Nets/blob/master/data/Pajek/dic/EAT/eat.md

Some additional comments:

A. Other, more detailed classifications could be used for a decision tree
B. A network can contain both directed and undirected links - for example, streets in a town
C. Signed networks are weighted networks; they can also be considered multi-relational (multiplex)
D. Is multiplex a node or network property?
E. For structural links - how are they represented? They can form special relations (no-links, fixed-links) in a multi-relational network
F. In addition to the transformed network, I would also encourage the publication of (or a link to) the original network. When transforming a network, we often lose or distort information.
G. The network description should also contain information on whether the loops are allowed. And their number.
H. average degree = (2 * #links - #loops) / #nodes
max degree is more interesting


=====

Handling of Missing Edges in addition to nodes (that was mentioned), also the % of missing edges. Are nodes stable across all waves (node birth and death)?

=====

Just a small typo. At section 1.3, within 'Meaning' , ""reciever"" should be ""receiver""."
